date,department,headcount,new_hires,terminations,absences,overtime_hours,training_hours,avg_performance_score,avg_salary_usd,engagement_score
3/31/2015,Engineering,47,0,0,1,8,1.7,3.59,60839.52,0.692
4/1/2015,Engineering,48,0,0,2,2.5,0,4.06,59451.98,0.751
4/2/2015,Engineering,48,0,0,2,5,0.5,3.83,60327.74,0.825
4/3/2015,Engineering,50,0,0,0,0.8,0.9,3.92,59092.48,0.665
4/4/2015,Engineering,49,1,0,0,1,4.5,3.74,61391.4,0.588
4/5/2015,Engineering,51,1,0,3,1.5,0.4,4.04,58872.58,0.723
4/6/2015,Engineering,48,0,0,1,2.4,2.6,3.49,59521.79,0.718
4/7/2015,Engineering,48,0,0,1,0.3,0.6,3.73,59222.76,0.708
4/8/2015,Engineering,53,0,0,2,1.5,1.2,3.63,58245.87,0.604
4/9/2015,Engineering,50,1,0,0,9.9,1,4.03,59839.37,0.579
4/10/2015,Engineering,49,0,0,0,6.7,0.4,3.93,60020.49,0.769
4/11/2015,Engineering,48,0,0,1,5.5,5.6,3.94,58837.17,0.736
4/12/2015,Engineering,49,0,0,0,5.9,0.8,3.84,59031.34,0.661
4/13/2015,Engineering,50,0,0,3,3.3,0.9,3.97,59331.69,0.641
4/14/2015,Engineering,48,2,0,1,0.8,0.8,3.59,59306.75,0.755
4/15/2015,Engineering,50,0,0,0,1.4,1.3,3.78,59338.97,0.787
4/16/2015,Engineering,47,1,0,3,2.9,1,3.58,58428.61,0.681
4/17/2015,Engineering,48,0,1,1,2,0.9,3.42,60792.84,0.606
4/18/2015,Engineering,52,0,0,1,3.1,0,3.86,60300.55,0.735
4/19/2015,Engineering,47,1,1,3,1.6,0.7,3.79,61011.59,0.776
4/20/2015,Engineering,52,1,0,1,1.3,0.7,3.51,60120.26,0.76
4/21/2015,Engineering,48,0,0,5,0.8,4.2,3.64,59081.4,0.668
4/22/2015,Engineering,49,0,1,2,2.1,0.6,3.57,58863.02,0.801
4/23/2015,Engineering,47,0,0,1,2.4,0,4.11,60392.79,0.645
4/24/2015,Engineering,49,0,0,2,3.4,2.3,3.59,58848.18,0.717
4/25/2015,Engineering,47,1,0,1,4.5,0.1,4.21,58390.85,0.708
4/26/2015,Engineering,46,0,0,0,8,1.4,3.73,59121.01,0.859
4/27/2015,Engineering,50,0,0,3,0.7,5.7,3.92,58434.11,0.702
4/28/2015,Engineering,50,0,0,2,5.2,0.2,3.51,58308.81,0.766
4/29/2015,Engineering,50,0,0,2,2.8,0,3.92,59713.55,0.744
4/30/2015,Engineering,50,0,0,2,7.5,1.8,4.12,58215.97,0.67
5/1/2015,Engineering,48,0,0,1,1.4,0.2,3.97,58579.78,0.785
5/2/2015,Engineering,49,0,0,3,1.2,0.9,3.77,59533.43,0.762
5/3/2015,Engineering,51,0,0,0,6.2,1,3.78,60282.19,0.737
5/4/2015,Engineering,49,1,0,1,2.9,2.7,3.89,58081.04,0.748
5/5/2015,Engineering,49,0,0,2,12.1,0.5,3.46,59434.23,0.787
5/6/2015,Engineering,48,1,0,3,9.7,0.3,3.39,58772.83,0.744
5/7/2015,Engineering,49,0,0,1,4.1,0.2,3.85,59656.9,0.778
5/8/2015,Engineering,49,1,0,2,1.7,0.5,4.03,58773.09,0.793
5/9/2015,Engineering,50,0,0,1,0.6,0.1,3.97,58726.84,0.733
5/10/2015,Engineering,48,0,0,3,0.3,0.5,3.95,59857.4,0.682
5/11/2015,Engineering,46,0,0,4,0.3,0.6,3.72,59846.42,0.655
5/12/2015,Engineering,49,1,0,2,0,1.2,3.82,58591.09,0.713
5/13/2015,Engineering,49,1,1,3,1.1,0.4,3.83,58321.67,0.694
5/14/2015,Engineering,49,2,0,1,8.7,2.2,3.99,57111.46,0.76
5/15/2015,Engineering,50,1,0,1,0.1,0.5,3.65,58323.35,0.751
5/16/2015,Engineering,50,0,2,2,4.5,0.6,3.76,58453.23,0.774
5/17/2015,Engineering,50,0,0,1,3.3,0.1,3.78,59817.21,0.735
5/18/2015,Engineering,52,0,0,1,0,0.1,3.95,57463.53,0.691
5/19/2015,Engineering,48,0,0,1,3.1,0.4,3.58,58938.99,0.699
5/20/2015,Engineering,50,0,0,2,9,0.5,3.83,60155.03,0.738
5/21/2015,Engineering,50,0,0,1,4.4,0.4,4.1,59211.65,0.685
5/22/2015,Engineering,49,0,0,0,5.5,0.2,3.79,57617.11,0.652
5/23/2015,Engineering,51,0,0,1,1.2,1.5,3.69,59100.17,0.72
5/24/2015,Engineering,49,0,0,2,0.6,0.1,3.67,61513.86,0.611
5/25/2015,Engineering,50,0,1,3,0.2,2.6,3.57,59377.84,0.652
5/26/2015,Engineering,53,1,1,2,4.3,4.9,3.8,58315.54,0.702
5/27/2015,Engineering,50,0,0,1,1.5,2,3.52,59818.56,0.81
5/28/2015,Engineering,50,0,0,1,1.2,1.3,3.54,58761.51,0.742
5/29/2015,Engineering,50,0,0,3,7.1,0.8,3.82,56587.13,0.727
5/30/2015,Engineering,48,0,0,2,1.8,0.2,3.36,57036.16,0.699
5/31/2015,Engineering,49,0,0,1,4.2,0.4,4.17,58714.8,0.811
6/1/2015,Engineering,52,1,0,0,2.2,0,3.66,58257.76,0.705
6/2/2015,Engineering,47,0,0,0,2.3,0,3.24,59671.56,0.762
6/3/2015,Engineering,48,1,0,0,4.8,0.1,3.88,59620.5,0.722
6/4/2015,Engineering,49,0,0,3,2,2.3,3.75,57301.28,0.746
6/5/2015,Engineering,50,0,0,0,0.7,0.3,3.88,58571.36,0.668
6/6/2015,Engineering,49,1,0,1,0.9,0.8,3.59,57737.53,0.704
6/7/2015,Engineering,49,1,0,2,0.7,0.2,3.5,59185.96,0.753
6/8/2015,Engineering,51,0,0,1,0.7,1.2,3.93,58150.71,0.757
6/9/2015,Engineering,51,0,0,2,4.2,1.8,3.25,58890.52,0.845
6/10/2015,Engineering,51,0,0,3,0.7,1.3,3.97,59667.03,0.614
6/11/2015,Engineering,48,0,0,1,6.2,1.3,3.29,58429.84,0.676
6/12/2015,Engineering,49,0,0,2,2.2,2.5,3.68,58044.44,0.655
6/13/2015,Engineering,49,0,0,2,4.5,1.1,3.2,58313.02,0.747
6/14/2015,Engineering,49,0,0,0,0,0.5,3.16,59714.64,0.775
6/15/2015,Engineering,46,1,0,0,1.6,0.4,3.54,59107.88,0.733
6/16/2015,Engineering,48,2,0,0,1.8,3.7,3.59,58744.91,0.643
6/17/2015,Engineering,52,2,1,1,1.8,0.4,3.4,59534.51,0.793
6/18/2015,Engineering,49,1,0,1,1.8,0.3,3.87,57936.03,0.649
6/19/2015,Engineering,48,0,0,2,1.4,0.9,3.59,58841.74,0.63
6/20/2015,Engineering,48,0,0,2,1.9,1.1,3.44,59012.74,0.777
6/21/2015,Engineering,50,0,0,2,3.3,1.5,3.5,59598.71,0.62
6/22/2015,Engineering,50,1,0,1,3.1,0.4,3.37,59184.84,0.724
6/23/2015,Engineering,50,0,0,1,6.2,2.2,3.29,60648.64,0.722
6/24/2015,Engineering,48,0,0,1,1,0.1,3.26,57859.06,0.811
6/25/2015,Engineering,49,1,0,2,4.1,1.2,3.53,58811.38,0.787
6/26/2015,Engineering,50,0,1,2,4.1,0.4,3.77,61437.07,0.702
6/27/2015,Engineering,49,0,0,2,1.2,0.9,3.43,58726.59,0.678
6/28/2015,Engineering,46,0,0,2,2.2,1.5,3.63,58836.01,0.788
6/29/2015,Engineering,48,0,0,0,2.2,2,3.64,58588.95,0.793
6/30/2015,Engineering,49,1,1,3,2.6,2.2,3.66,58242.62,0.687
7/1/2015,Engineering,48,0,0,2,2.4,1.2,3.57,58218.26,0.656
7/2/2015,Engineering,50,0,0,2,0.3,0.3,3.75,61642.84,0.698
7/3/2015,Engineering,50,1,0,2,2.7,1,3.42,60380.34,0.76
7/4/2015,Engineering,50,1,0,2,1.8,0.2,3.31,60029.43,0.681
7/5/2015,Engineering,48,0,0,2,1.9,0.8,3.6,61764.26,0.654
7/6/2015,Engineering,50,0,0,0,0.7,0.1,3.6,59494.8,0.809
7/7/2015,Engineering,52,0,0,3,1.2,0.4,3.3,59156.1,0.769
7/8/2015,Engineering,49,1,1,4,1,0.9,3.31,58764.13,0.669
7/9/2015,Engineering,49,1,1,1,2.7,0.8,3.37,57186.49,0.726
7/10/2015,Engineering,49,0,0,1,3.8,0.2,3.32,59624.02,0.781
7/11/2015,Engineering,51,0,0,1,1.3,0.7,3.82,58634.23,0.686
7/12/2015,Engineering,50,0,0,0,0.8,0.1,3.41,59252.98,0.621
7/13/2015,Engineering,50,0,0,1,0.5,0.1,3.37,58206.26,0.76
7/14/2015,Engineering,52,1,0,1,0.1,0.2,3.18,58502.1,0.656
7/15/2015,Engineering,52,0,0,0,4.3,1,3.57,58423.1,0.744
7/16/2015,Engineering,50,0,0,0,2.2,0.6,3.41,57850.85,0.75
7/17/2015,Engineering,51,1,0,5,0,1.2,3.63,57520.2,0.738
7/18/2015,Engineering,48,1,1,1,5.7,0.2,3.67,58878.22,0.705
7/19/2015,Engineering,51,0,0,0,11.3,0.2,3.67,57982.05,0.816
7/20/2015,Engineering,50,0,0,2,2.9,0.6,3.53,59443.4,0.712
7/21/2015,Engineering,48,1,0,2,2.3,1.6,3.58,58656.64,0.687
7/22/2015,Engineering,50,0,0,2,5.5,0.7,3,58173.87,0.777
7/23/2015,Engineering,48,0,0,1,1.1,0.8,3.7,62207.4,0.735
7/24/2015,Engineering,52,0,0,0,2.6,0,3.19,57146.12,0.608
7/25/2015,Engineering,50,1,0,0,0.1,2.3,3.34,59628.03,0.803
7/26/2015,Engineering,50,1,0,0,3.3,1.4,3.52,58127.04,0.736
7/27/2015,Engineering,46,0,0,2,1.5,0.2,3.16,60423.55,0.701
7/28/2015,Engineering,50,0,0,2,1.8,2.1,3.11,60443.93,0.669
7/29/2015,Engineering,51,0,0,0,1.2,1.7,3.24,58576.56,0.719
7/30/2015,Engineering,49,0,0,4,2.2,0.8,3.61,58884.54,0.679
7/31/2015,Engineering,48,0,0,2,3,2.1,3.51,59107.31,0.699
8/1/2015,Engineering,50,1,0,1,3.6,0.1,3.16,58567.73,0.695
8/2/2015,Engineering,49,0,0,2,0.9,1.2,3.24,58776.58,0.733
8/3/2015,Engineering,49,0,0,1,8,1.2,3.21,59628.17,0.653
8/4/2015,Engineering,49,0,0,3,0,2.4,3.39,59440.6,0.735
8/5/2015,Engineering,49,0,0,0,0.5,0,3.71,59740.35,0.735
8/6/2015,Engineering,51,0,0,0,1.6,1.2,3.44,59318.99,0.699
8/7/2015,Engineering,45,0,0,2,2.4,0.3,3.15,62168.43,0.771
8/8/2015,Engineering,46,1,0,1,2.5,0.9,3.46,58959.75,0.698
8/9/2015,Engineering,50,0,0,1,2.4,0,3.48,59039.48,0.793
8/10/2015,Engineering,50,0,1,2,1.6,0.3,3.38,59193,0.645
8/11/2015,Engineering,49,1,0,1,0.6,1.1,3.05,59796.52,0.618
8/12/2015,Engineering,53,0,0,1,0.9,0.2,3.22,60800.22,0.755
8/13/2015,Engineering,48,0,0,2,2.5,0.2,3.28,59783.32,0.784
8/14/2015,Engineering,51,1,0,1,5.8,0.5,3.25,59287.76,0.731
8/15/2015,Engineering,50,1,0,1,0.1,0.6,3.19,58794.09,0.792
8/16/2015,Engineering,50,1,0,0,0.4,6.4,3.3,60043.96,0.738
8/17/2015,Engineering,50,1,0,1,1.3,1.3,3.46,59150.12,0.718
8/18/2015,Engineering,50,0,0,1,1,0.2,3.32,60109.11,0.633
8/19/2015,Engineering,49,0,1,1,2.1,1.5,3.09,58538.03,0.607
8/20/2015,Engineering,50,1,0,2,2.7,1.1,3.2,58558.44,0.751
8/21/2015,Engineering,49,0,0,1,4.1,0.1,3.3,59493.16,0.709
8/22/2015,Engineering,48,0,0,1,1.7,0.6,3.11,60899.29,0.722
8/23/2015,Engineering,48,0,1,1,1.5,0.4,3.41,61261.05,0.776
8/24/2015,Engineering,54,0,0,0,2.1,4.5,3.24,56834.37,0.76
8/25/2015,Engineering,49,0,0,0,3.9,0.8,3.17,58692.5,0.683
8/26/2015,Engineering,50,0,0,2,1.7,1.1,3.28,58863.11,0.673
8/27/2015,Engineering,50,0,0,1,2.1,1.2,2.97,60997.28,0.686
8/28/2015,Engineering,48,0,0,1,1.9,0.4,3.21,62451.75,0.614
8/29/2015,Engineering,48,1,0,2,0.1,0.6,3.16,60112.94,0.762
8/30/2015,Engineering,49,3,0,0,0.3,0.8,3.15,59284.44,0.685
8/31/2015,Engineering,49,0,0,0,0.8,1.1,3.17,60635.67,0.583
9/1/2015,Engineering,50,2,0,1,0.9,0.4,3.28,59186.92,0.711
9/2/2015,Engineering,51,0,0,1,1,1,3.35,59060.5,0.639
9/3/2015,Engineering,49,0,0,0,0.5,0.2,3.26,60313.98,0.78
9/4/2015,Engineering,50,0,0,1,2.8,0.6,3.22,61765.86,0.778
9/5/2015,Engineering,50,2,0,2,1.1,0.2,3.17,61475.34,0.678
9/6/2015,Engineering,49,0,0,0,4.5,3,3.27,61314.79,0.624
9/7/2015,Engineering,50,0,0,0,5,1.2,3.23,58360.08,0.629
9/8/2015,Engineering,51,0,0,0,1.2,3.4,3.13,59315.51,0.785
9/9/2015,Engineering,49,0,0,2,6.2,0.1,3.39,60866.83,0.729
9/10/2015,Engineering,49,1,1,3,1.7,1,3.27,60027.84,0.721
9/11/2015,Engineering,50,1,0,1,0,0.1,3.2,60706.88,0.729
9/12/2015,Engineering,50,0,0,3,4.3,1.3,3.38,59424.72,0.747
9/13/2015,Engineering,48,0,1,3,0.1,0.7,3.68,60927.4,0.671
9/14/2015,Engineering,48,0,0,0,1.3,3.1,2.84,60061.68,0.681
9/15/2015,Engineering,50,1,0,0,4.2,0,3.14,59478.43,0.696
9/16/2015,Engineering,47,0,0,3,1.1,0.8,3.21,59416.74,0.781
9/17/2015,Engineering,49,0,0,1,0.1,1.6,3.24,60249.53,0.726
9/18/2015,Engineering,49,0,0,1,1.4,1.3,3.47,60929.99,0.64
9/19/2015,Engineering,49,0,1,2,1.2,1,2.88,60613.65,0.773
9/20/2015,Engineering,50,1,1,1,2.4,0.2,3.18,60383.26,0.658
9/21/2015,Engineering,52,0,0,3,0,3.4,3.17,59050.99,0.678
9/22/2015,Engineering,47,0,0,0,0.3,0.1,3.2,57739.02,0.743
9/23/2015,Engineering,52,0,0,1,0.6,0.8,3.24,59390.9,0.666
9/24/2015,Engineering,49,0,0,2,1.2,0.5,3.26,57437.05,0.681
9/25/2015,Engineering,50,1,0,2,3.7,2.4,3.35,57647.36,0.843
9/26/2015,Engineering,52,1,0,0,1.5,1.4,3.22,60722.58,0.703
9/27/2015,Engineering,48,0,0,1,10.7,2.5,3.16,61290.1,0.772
9/28/2015,Engineering,50,1,0,1,4.3,0.4,3.26,59880.84,0.71
9/29/2015,Engineering,50,0,0,2,1.1,0.2,3.49,60165.36,0.722
9/30/2015,Engineering,49,0,1,4,2.5,1.3,3.11,58699.54,0.709
10/1/2015,Engineering,52,1,0,1,1.9,0,3.19,59653.79,0.739
10/2/2015,Engineering,50,0,0,1,0.9,0.9,3.55,60572.23,0.808
10/3/2015,Engineering,48,0,0,0,0.2,0.6,2.93,58197.7,0.715
10/4/2015,Engineering,53,1,0,2,1.7,0.3,3,58636.44,0.696
10/5/2015,Engineering,50,0,0,3,5.7,1.7,3.59,60140.93,0.661
10/6/2015,Engineering,47,1,1,2,3.7,0.4,2.96,59679.97,0.705
10/7/2015,Engineering,49,0,0,0,14.3,0,3.21,59115.27,0.743
10/8/2015,Engineering,50,0,0,3,1.1,0.7,2.91,57968.59,0.662
10/9/2015,Engineering,50,1,1,2,0.1,4.5,3.19,61425.7,0.67
10/10/2015,Engineering,52,0,0,1,2.4,0.8,2.9,58786.47,0.718
10/11/2015,Engineering,50,0,1,2,3.3,0.2,3.35,59341.23,0.736
10/12/2015,Engineering,51,2,1,0,3.5,0.1,3.04,59758.61,0.646
10/13/2015,Engineering,48,0,0,4,1.6,0.8,3.01,60567.4,0.736
10/14/2015,Engineering,50,0,0,1,2.9,0.2,3.16,59393.84,0.764
10/15/2015,Engineering,52,1,0,2,2.5,0.1,3.21,59259.4,0.745
10/16/2015,Engineering,50,0,0,1,5.4,2.2,2.98,60031.95,0.732
10/17/2015,Engineering,49,0,0,2,1.1,0.9,3.23,59174.58,0.745
10/18/2015,Engineering,49,0,0,1,1.2,0.5,3.3,57310.39,0.599
10/19/2015,Engineering,51,0,0,5,0.8,1.9,2.96,58377.92,0.716
10/20/2015,Engineering,53,1,0,1,0.4,0.5,3.18,58793.29,0.661
10/21/2015,Engineering,50,0,0,0,2.4,0.4,3.4,56597.89,0.699
10/22/2015,Engineering,48,0,0,2,2.4,0.2,3.1,59468.22,0.757
10/23/2015,Engineering,49,0,0,1,4.3,0.6,3.29,58883.94,0.717
10/24/2015,Engineering,51,0,0,1,0.2,0.1,3.33,60387.67,0.719
10/25/2015,Engineering,50,1,0,1,4.8,0.5,3.01,59214.89,0.718
10/26/2015,Engineering,48,0,0,1,4.1,0.4,3.34,59314.1,0.62
10/27/2015,Engineering,49,0,0,0,4.2,0.6,3,60386.08,0.671
10/28/2015,Engineering,51,0,0,2,1,0.1,3.11,59714.12,0.747
10/29/2015,Engineering,49,0,0,2,0.2,4.8,3.59,59103.17,0.659
10/30/2015,Engineering,48,0,0,2,3.5,1.3,3.12,57672.17,0.716
10/31/2015,Engineering,51,0,0,1,3.8,0.3,3.13,59489.79,0.726
11/1/2015,Engineering,51,0,0,3,2.1,2.1,3.43,59953.56,0.691
11/2/2015,Engineering,51,1,0,1,0.8,0.5,3.24,57903.11,0.706
11/3/2015,Engineering,51,1,0,5,4.1,2.4,3.51,60212.09,0.824
11/4/2015,Engineering,52,0,0,1,0,0.4,3.11,58995.62,0.711
11/5/2015,Engineering,50,0,0,1,1.3,0.1,3,59105.93,0.727
11/6/2015,Engineering,52,0,0,1,0.9,0.8,3.24,58984.39,0.773
11/7/2015,Engineering,49,1,0,3,0.9,0.1,3.2,58236.18,0.712
11/8/2015,Engineering,49,0,0,2,0.2,0.1,3.55,59472.22,0.793
11/9/2015,Engineering,50,0,0,2,9.9,0.8,3.41,60770.95,0.774
11/10/2015,Engineering,48,1,0,2,2.2,0,3.28,60496.32,0.768
11/11/2015,Engineering,51,0,0,0,0.3,1.1,3,59228.86,0.676
11/12/2015,Engineering,50,0,0,4,1.2,0.5,3.13,60312.16,0.679
11/13/2015,Engineering,51,3,0,1,3.5,2.1,3.11,60119.31,0.672
11/14/2015,Engineering,51,0,0,3,0.7,0.2,3.02,57089.43,0.782
11/15/2015,Engineering,48,0,0,1,3,1.3,3.2,62397.58,0.706
11/16/2015,Engineering,50,0,0,0,0.9,0,3.47,60386.78,0.787
11/17/2015,Engineering,50,0,1,2,0.8,1.6,3.57,58785.12,0.752
11/18/2015,Engineering,51,0,0,4,0.6,0.1,3.17,59379.48,0.732
11/19/2015,Engineering,49,0,0,2,0.6,1.8,3.57,58848.92,0.715
11/20/2015,Engineering,50,0,0,1,2.5,0.7,3.24,59309.27,0.692
11/21/2015,Engineering,48,0,0,1,6.8,0.2,2.96,60794.67,0.755
11/22/2015,Engineering,49,1,0,1,0.6,0.1,3.26,58931.04,0.781
11/23/2015,Engineering,51,1,1,0,5,0.6,3.57,59605.67,0.706
11/24/2015,Engineering,50,0,0,2,1.7,0.7,3.21,57959.5,0.736
11/25/2015,Engineering,47,0,0,1,2.3,1.2,3.48,58309.91,0.648
11/26/2015,Engineering,51,2,0,1,3.8,1,3.64,61342.53,0.728
11/27/2015,Engineering,49,0,0,0,1.2,0.7,3.22,62095.76,0.82
11/28/2015,Engineering,52,0,0,0,6.8,0.5,3.94,60291.06,0.644
11/29/2015,Engineering,50,2,0,0,1.6,2.1,3.24,59590,0.765
11/30/2015,Engineering,50,0,0,0,1.2,0.4,3.73,59621.96,0.78
12/1/2015,Engineering,51,1,1,2,7.7,0.6,3.79,60571.81,0.72
12/2/2015,Engineering,51,0,0,1,0.4,2.9,3.56,59000.24,0.737
12/3/2015,Engineering,51,1,1,4,7.3,1.2,3.71,59933.31,0.68
12/4/2015,Engineering,50,0,0,1,1.4,1.8,3.59,58951.74,0.743
12/5/2015,Engineering,50,0,0,1,0.7,2.1,2.8,57989.02,0.718
12/6/2015,Engineering,50,0,0,2,2.4,1.2,2.89,59603.31,0.766
12/7/2015,Engineering,53,0,0,3,0.2,1,3.54,60183.93,0.706
12/8/2015,Engineering,49,1,0,2,6.5,0.4,3.55,59365.77,0.674
